"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,01.02.2021,09:53:00,131.139,131.550,130.930,131.487,581020
AAPL,NASDAQ,01.02.2021,13:25:00,135.229,135.380,135.229,135.380,232017
AAPL,NASDAQ,02.02.2021,09:11:00,136.030,136.030,134.140,136.000,309439
AAPL,NASDAQ,02.02.2021,08:32:00,135.900,136.450,135.850,136.200,73776
AAPL,NASDAQ,03.02.2021,10:28:00,133.720,133.798,133.610,133.739,293233
AAPL,NASDAQ,03.02.2021,18:16:00,137.790,138.020,137.600,137.680,132667
AAPL,NASDAQ,04.02.2021,08:04:00,136.270,136.340,134.270,136.280,20723
AAPL,NASDAQ,04.02.2021,16:01:00,137.390,137.500,135.893,137.310,5328271
AAPL,NASDAQ,05.02.2021,16:36:00,136.580,136.580,135.850,136.160,85784
AAPL,NASDAQ,05.02.2021,08:01:00,137.850,138.190,137.525,138.000,153174
AAPL,NASDAQ,08.02.2021,09:35:00,135.250,135.260,134.920,135.140,774440
AAPL,NASDAQ,08.02.2021,16:00:00,136.800,136.960,136.780,136.901,1556762
AAPL,NASDAQ,09.02.2021,15:57:00,135.910,135.950,135.850,135.902,347700
AAPL,NASDAQ,09.02.2021,10:43:00,137.825,137.877,137.786,137.800,221205
AAPL,NASDAQ,10.02.2021,10:47:00,134.870,135.020,134.400,134.410,474812
AAPL,NASDAQ,10.02.2021,09:32:00,136.730,136.990,136.700,136.820,455559
AAPL,NASDAQ,11.02.2021,14:23:00,134.030,134.030,133.770,133.850,309492
AAPL,NASDAQ,11.02.2021,09:33:00,136.320,136.390,136.090,136.240,342268
AAPL,NASDAQ,12.02.2021,10:19:00,133.895,133.900,133.692,133.770,404864
AAPL,NASDAQ,12.02.2021,16:00:00,135.480,135.530,135.350,135.380,1022166
AAPL,NASDAQ,16.02.2021,13:56:00,132.862,132.899,132.790,132.840,118358
AAPL,NASDAQ,16.02.2021,08:01:00,136.100,136.170,135.850,135.920,90758
AAPL,NASDAQ,17.02.2021,11:22:00,129.550,129.820,129.470,129.750,670492
AAPL,NASDAQ,17.02.2021,09:24:00,131.160,133.256,131.050,131.240,24915
AAPL,NASDAQ,18.02.2021,10:27:00,127.760,127.790,127.410,127.710,661446
AAPL,NASDAQ,18.02.2021,15:32:00,129.875,129.995,129.870,129.930,251473
AAPL,NASDAQ,19.02.2021,13:16:00,128.870,128.980,128.800,128.960,261018
